Title,Price,Brand,Model,Year of Manufacture,Engine capacity,Mileage,Bike Type,Condition,Trim / Edition,Location,URL
TVS Ntorq 2026,"Rs 55,700",TVS,Ntorq,2026,125 cc,0 km,Scooters,Brand New,Ntorq ,Moratuwa,https://ikman.lk/en/ad/tvs-ntorq-2026-for-sale-colombo-241
Yamaha Ray ZR 2019,"Rs 500,000",Yamaha,Ray ZR,2019,113 cc,"35,000 km",Scooters,Used,2019,Piliyandala,https://ikman.lk/en/ad/yamaha-ray-zr-2019-for-sale-colombo-2235
Bajaj Pulsar 180 2011,"Rs 390,000",Bajaj,Pulsar 180,2011,179 cc,"48,000 km",Motorbikes,Used,Pulsar 180,Matale City,https://ikman.lk/en/ad/bajaj-pulsar-180-2011-for-sale-matale-48
Bajaj Pulsar NS200 Brand new 2026,"Rs 515,000",Bajaj,Pulsar NS200,2026,200 cc,0 km,Motorbikes,Brand New,Brand new 2026,Ibbagamuwa,https://ikman.lk/en/ad/bajaj-pulsar-ns200-brand-new-2026-for-sale-kurunegala-8
Bajaj Pulsar NS200 Brand new 2026,"Rs 515,000",Bajaj,Pulsar NS200,2026,200 cc,0 km,Motorbikes,Brand New,Brand new 2026,Ibbagamuwa,https://ikman.lk/en/ad/bajaj-pulsar-ns200-brand-new-2026-for-sale-kurunegala-9
Bajaj Pulsar 150 2005,"Rs 239,000",Bajaj,Pulsar 150,2005,150 cc,"155,000 km",Motorbikes,Used,,Kandy City,https://ikman.lk/en/ad/bajaj-pulsar-150-2005-for-sale-kandy-105
Yamaha Fascino 2019,"Rs 395,000",Yamaha,Fascino,2019,110 cc,"19,000 km",Scooters,Used,,Wattala,https://ikman.lk/en/ad/yamaha-fascino-2019-for-sale-gampaha-1
Hero Passion pro 2017,"Rs 300,000",Hero,Passion pro,2017,100 cc,"100,000 km",Motorbikes,Used,,Jaffna City,https://ikman.lk/en/ad/hero-passion-pro-2017-for-sale-jaffna-4
Bajaj Pulsar 135 2012,"Rs 275,000",Bajaj,Pulsar 135,2012,135 cc,"50,000 km",Motorbikes,Used,135,Hambantota City,https://ikman.lk/en/ad/bajaj-pulsar-135-2011-for-sale-hambantota-189
Bajaj Pulsar 135 2011,"Rs 260,000",Bajaj,Pulsar 135,2011,135 cc,"80,000 km",Motorbikes,Used,,Ratnapura City,https://ikman.lk/en/ad/bajaj-pulsar-135-2011-for-sale-ratnapura-391
Mahindra Centuro 2013,"Rs 198,000",Mahindra,Centuro,2013,110 cc,"40,000 km",Motorbikes,Used,,Mawanella,https://ikman.lk/en/ad/mahindra-centuro-2013-for-sale-kegalle
Honda PCX 125 2025,"Rs 1,860,000",Honda,PCX 125,2025,125 cc,0 km,Scooters,Brand New,2025,Kirindiwela,https://ikman.lk/en/ad/honda-pcx-125-2025-for-sale-gampaha-82
Yamaha FZ S V1 2012,"Rs 479,000",Yamaha,FZ S,2012,150 cc,"35,000 km",Motorbikes,Used,FZ V1,Mawanella,https://ikman.lk/en/ad/yamaha-fz-s-v1-2012-for-sale-kegalle
Bajaj Pulsar 150 2015,"Rs 540,000",Bajaj,Pulsar 150,2015,150 cc,"8,600 km",Motorbikes,Used,2015,Bopitiya,https://ikman.lk/en/ad/bajaj-pulsar-150-2015-for-sale-gampaha-794
Bajaj Platina 2012,"Rs 260,000",Bajaj,Platina,2012,100 cc,"65,000 km",Motorbikes,Used,Bajaj,Deniyaya,https://ikman.lk/en/ad/bajaj-platina-non-modified-2012-for-sale-matara
Bajaj CT100 2007,"Rs 250,000",Bajaj,CT100,2007,100 cc,"48,000 km",Motorbikes,Used,,Katunayake,https://ikman.lk/en/ad/bajaj-ct100-2007-for-sale-gampaha-1656
Honda PCX 125 2021,"Rs 1,450,000",Honda,PCX 125,2021,125 cc,"16,900 km",Scooters,Used,,Akurana,https://ikman.lk/en/ad/honda-pcx-125-2021-for-sale-kandy-1
Bajaj CT100 2008,"Rs 270,000",Bajaj,CT100,2008,100 cc,"162,848 km",Motorbikes,Used,Bajaj,Kelaniya,https://ikman.lk/en/ad/bajaj-ct100-ct-100-red-2008-for-sale-gampaha
Bajaj CT100 2016,"Rs 450,000",Bajaj,CT100,2016,100 cc,"100,000 km",Motorbikes,Used,,Bingiriya,https://ikman.lk/en/ad/bajaj-ct100-2016-for-sale-kurunegala-1462
Honda Dio 2014,"Rs 370,000",Honda,Dio,2014,110 cc,"14,893 km",Scooters,Used,Honda,Panadura,https://ikman.lk/en/ad/honda-dio-good-2014-for-sale-kalutara
Hero HF Deluxe 2019,"Rs 380,000",Hero,HF Deluxe,2019,110 cc,"35,000 km",Motorbikes,Used,2019,Batticaloa City,https://ikman.lk/en/ad/hero-hf-deluxe-2019-for-sale-batticaloa-200
Bajaj Pulsar 150 2015,"Rs 520,000",Bajaj,Pulsar 150,2015,150 cc,"70,000 km",Motorbikes,Used,Pulsar,Medawachchiya,https://ikman.lk/en/ad/bajaj-pulsar-150-palsar-2015-for-sale-anuradhapura
TVS Ntorq 125 2018,"Rs 570,000",TVS,Ntorq,2018,125 cc,"26,470 km",Scooters,Used,TVS Ntorq 125,Kandy City,https://ikman.lk/en/ad/tvs-ntorq-125-2018-for-sale-kandy-53
Bajaj Pulsar 180 2011,"Rs 400,000",Bajaj,Pulsar 180,2011,180 cc,"655,898 km",Motorbikes,Used,Bajaj,Kinniya,https://ikman.lk/en/ad/bajaj-pulsar-180-good-condition-2011-for-sale-trincomalee-4
Bajaj Boxer CT Deluxe 2003,"Rs 148,000",Bajaj,Boxer,2003,100 cc,"52,000 km",Motorbikes,Used,CT Deluxe,Matugama,https://ikman.lk/en/ad/bajaj-boxer-ct-deluxe-2003-for-sale-kalutara-7
TVS Ntorq 2026,"Rs 55,700",TVS,Ntorq,2026,125 cc,0 km,Scooters,Brand New,Ntorq ,Panadura,https://ikman.lk/en/ad/tvs-ntorq-2026-for-sale-kalutara-114
Honda Super Cub 1994,"Rs 165,000",Honda,Super Cub,1994,50 cc,"112,000 km",Motorbikes,Used,,Kuliyapitiya,https://ikman.lk/en/ad/honda-super-cub-1994-for-sale-kurunegala
Bajaj Pulsar 150 2012,"Rs 100,000",Bajaj,Pulsar 150,2012,150 cc,"79,000 km",Motorbikes,Used,,Gampola,https://ikman.lk/en/ad/bajaj-pulsar-150-2012-for-sale-kandy-774
